,Chapter,DocInfo
404,CFM57220,['162103']
405,CFM57300,['162105']
406,INTM285020,['162110']
407,INTM285060,['162110']
408,INTM287030,['162110']
409,INTM287050,['162110']
410,INTM286000,['162111']
411,INTM286100,['162111']
412,CTM36130,"['164400', '1758448']"
413,CTM48911,['1655829']
414,CTM48912,['1655829']
415,CTM48915,['1655829']
416,CTM48922,['1655829']
417,CTM48923,['1655829']
418,CTM48926,['1655829']
419,CTM48932,['1655829']
420,CTM48933,['1655829']
421,CTM48934,['1655829']
422,CTM48962,['1655829']
423,CTM48963,['1655829']
424,CTM48964,['1655829']
425,CTM48971,['1655829']
428,CFM95000,"['174297', '2576357', '3118629', '3129696', '3164552']"
432,CTM36805,['175067']
433,CTM00530,"['1758448', '2354628']"
434,CTM01520,['1758448']
437,CTM36145,['1758448']
439,CTM93170,['1758448']
440,CTM97760,"['1758448', '2354628', '2381741']"
441,CTM48110,['177451']
442,CTM48115,"['177451', '233187', '233188', '233533']"
443,CTM48120,"['177451', '233187']"
444,CTM48125,['177451']
445,CTM48205,"['177451', '233187']"
446,CTM48410,"['177451', '233187']"
447,INTM248100,['177699']
448,CTM48160,"['178377', '233187']"
449,CTM48165,['178377']
450,CTM48705,"['178377', '192933']"
452,CTM06340,['180409']
453,CTM06390,['180409']
454,CTM06420,['180409']
456,CFM21170,['183255']
457,CFM21610,['183255']
459,CFM23045,['183255']
461,CFM23078,['183255']
462,CFM25080,['183255']
463,VGROUPS02550,['183727']
464,VGROUPS04850,['183727']
465,INTM210000,['190079']
466,CTM36505,['190479']
467,CTM36510,['190479']
468,CTM36590,['190479']
470,CTM48811,"['192933', '195126', '195128']"
471,CTM48817,"['192933', '195125']"
472,CTM48827,['192933']
473,CISR90210,['194206']
474,CTM48813,['195125']
476,CTM48818,['195125']
477,CTM48822,['195125']
480,CTM48839,['195128']
481,CTM48855,['195128']
482,CTM48870,['195129']
483,CTM48872,['195129']
484,CTM48875,['195129']
485,CTM48843,['195131']
486,CTM48864,['195131']
487,CH81110,"['195305', '197720']"
488,CH81170,['197718']
489,CH82120,['197718']
490,CH82200,['197719']
491,CH82370,['197719']
492,CH82371,"['197719', '821095']"
493,CH82394,['197719']
495,CH81120,"['197720', '197722']"
496,CH81160,['197720']
497,CH81161,['197720']
498,CH82470,"['197720', '197721', '3182904']"
500,CH82511,['197721']
501,CH82512,['197721']
503,CH81130,['197722']
504,CH81131,['197722']
505,CH83170,['197723']
506,CH84720,['197724']
507,CH84730,['197724']
508,CH84740,['197724']
509,CH84760,['197724']
510,CH82430,['197728']
511,CH15500,['197730']
512,CH15300,['197731']
513,CH142240,['197732']
514,CH146040,['197732']
515,CTM92190,"['197732', '3173209']"
516,CTM92660,['197732']
517,CTM95305,['205317']
518,CTM95310,['205317']
520,CTM95350,['205317']
523,STSM123040,['211268']
524,STSM133010,['211268']
525,STSM092050,"['214513', '215724']"
528,CH223150,"['217383', '2841947']"
530,STSM055030,['217752']
531,STSM067070,['217752']
532,VCM16050,['220463']
534,STSM133020,['222147']
535,STSM041180,['222149']
536,STSM041280,['222149']
538,CTM17005,['223816']
539,STSM042120,['224245']
540,VATFIN6200,"['224257', '224923']"
542,VATFIN3120,['224924']
543,CTM17507,['225615']
544,CTM17570,['225615']
549,CTM48230,['233187']
550,CTM48235,['233187']
551,CTM48245,['233187']
552,CTM48255,"['233187', '233188', '233533']"
553,CTM48260,['233187']
554,CTM48265,['233187']
555,CTM48270,"['233187', '233188', '233533']"
556,CTM48280,['233187']
557,CTM48282,['233187']
558,CTM48288,['233187']
559,CTM48295,['233187']
565,CTM48515,['233188']
566,CTM48520,['233188']
567,CTM48530,['233188']
568,CTM48535,['233188']
572,CTM48560,['233533']
573,CTM48570,['233533']
574,CTM48580,['233533']
575,CTM48615,['233533']
577,CTM48645,['233533']
585,CTM47105,['247126']
586,CTM47110,"['247126', '250978']"
589,CTM36560,"['250967', '250971']"
595,CTM36570,['250971']
596,CTM47160,['250973']
597,CTM47596,"['250974', '250978']"
599,CTM47420,['250978']
600,CTM47505,['250978']
601,CTM47510,['250978']
602,CTM47515,['250978']
603,CTM47545,['250978']
606,CFM95210,['2576357']
607,CFM95600,['2576357']
608,CFM97500,['2576357']
609,CTM06060,['258062']
610,CTM06210,['258062']
613,CFM72410,"['268368', '268370']"
614,CFM72450,"['268368', '268370']"
615,CFM72570,"['268368', '268369', '268370']"
616,CFM72610,['268368']
617,CFM72620,['268368']
618,CFM72650,['268368']
619,CFM72380,['268369']
624,CTM15150,"['269308', '336513']"
631,STSM041270,"['271150', '220846']"
632,STSM041290,['271150']
633,STSM041300,['271150']
636,CTM60210,['2810573']
638,CFM44210,['296586']
640,CFM44300,['296586']
642,IPT03250,['3135019']
643,IPT03300,['3135019']
644,IPT03350,['3135019']
645,IPT03520,['3135019']
646,IPT03540,['3135019']
647,IPT03720,['3135019']
648,IPT04100,['3135019']
649,IPT04200,['3135019']
650,IPT04250,['3135019']
651,IPT04300,['3135019']
652,IPT04350,['3135019']
653,IPT04400,['3135019']
654,IPT04450,['3135019']
655,IPT04600,['3135019']
656,IPT04700,['3135019']
657,IPT04900,['3135019']
658,IPT04905,['3135019']
659,IPT05000,['3135019']
660,IPT05150,['3135019']
661,IPT05160,['3135019']
662,IPT05165,['3135019']
663,IPT05250,['3135019']
664,IPT05450,['3135019']
665,IPT05570,['3135019']
666,IPT05580,['3135019']
667,IPT05590,['3135019']
668,IPT05600,['3135019']
669,IPT05650,['3135019']
670,IPT05800,['3135019']
671,IPT05850,['3135019']
672,IPT05880,['3135019']
673,IPT05920,['3135019']
674,IPT05960,['3135019']
675,IPT06100,['3135019']
676,IPT06210,['3135019']
677,IPT06215,['3135019']
678,IPT06225,['3135019']
679,IPT06230,['3135019']
680,IPT06235,['3135019']
681,IPT06245,['3135019']
682,IPT06250,['3135019']
683,IPT06260,['3135019']
684,IPT06430,['3135019']
685,IPT06440,['3135019']
686,IPT06510,['3135019']
687,IPT06680,['3135019']
688,IPT06870,['3135019']
689,IPT07240,['3135019']
690,IPT07500,['3135019']
691,IPT07610,['3135019']
692,IPT07620,['3135019']
693,IPT07625,['3135019']
694,IPT07710,['3135019']
695,IPT07715,['3135019']
696,IPT07905,['3135019']
697,IPT07910,['3135019']
698,IPT09105,['3135019']
699,IPT09140,['3135019']
700,IPT09250,['3135019']
701,IPT09300,['3135019']
702,IPT09350,['3135019']
704,IPT09420,['3135019']
705,IPT09430,['3135019']
706,IPT09440,['3135019']
707,IPT09480,['3135019']
708,IPT10050,['3135019']
709,CFM77510,['320635']
712,CTM34500,['336519']
718,CTM90650,['160526']
724,VCM55360,['437925']
725,CTM08341,['2805031']
726,CTM08343,['2805031']
727,CTM08344,['2805031']
728,CTM08345,['2805031']
729,CTM08349,['2805031']
735,CFM98980,['3129696']
736,CH84610,['3129696']
737,CH84615,['3129696']
738,CH84635,['3129696']
739,CH880200,['3129696']
740,CH98660,['3129696']
741,CTM06355,['3129696']
742,CTM06630,['3129696']
743,CTM07060,['3129696']
745,IPT07800,['3129696']
746,STSM103020,['3129696']
748,STSM101030,['3138546']
750,PAYE130025,['3141736']
752,CTM01750,['3146514']
753,CTM61630,['3149504']
755,CG58045,['3149520']
756,CG58060,['3149520']
757,CG58065,['3149520']
758,CG58070,['3149520']
762,CTM80165,['3173209']
763,CTM80205,['3173209']
764,CTM80330,['3173209']
765,CTM80335,['3173209']
766,CTM92010,['3173209']
767,CTM92180,['3173209']
769,CTM92290,['3173209']
770,CTM92310,['3173209']
771,CTM92520,['3173209']
772,CTM92550,['3173209']
773,CTM95005,['3173209']
774,CTM95130,['3173209']
775,CTM95140,['3173209']
777,CTM97002,['3178140']
778,CTM97020,['3178140']
780,CTM98250,['3188371']
781,CTM07010,['3198371']
782,CTM07050,['3198371']
783,CTM08880,['3198371']
784,OT02200,['3198371']
